HOW TO USE THIS FILE
Each row is one flashcard sentence our AI pipeline flagged as possibly wrong.
"Read columns D-G, then fill in the yellow-ish ones: put OK or FIX in ""Your verdict""."
"If FIX: write the correct Japanese sentence (or the correct meaning) in ""Your correction""."
"Anything else you notice goes in ""Comments"". You only need to touch the last 3 columns."

No.,Deck,English meaning the app teaches,Current Japanese sentence,What our checker thinks is wrong,Suggested replacement sentence,What we need from you,Your verdict (OK / FIX),Your correction,Comments
1,N5,nine days,九日に会社を休みます。,"ここのか = the 9th of the month; headword gloss ""nine days"" is off — sentence is correct for the date sense.",,"Is the English meaning right for this Japanese word/sentence? If yes write OK; if not, tell us what it should be.",,,
2,N5,two days,明日から二日旅行します。,二日間 is more explicit for a duration; 二日 acceptable.,,"Is the English meaning right for this Japanese word/sentence? If yes write OK; if not, tell us what it should be.",,,
3,N5,very,今日の料理は大変でした。,"大変 = tough/hard (not ""very""); gloss misleading.",,"Is the English meaning right for this Japanese word/sentence? If yes write OK; if not, tell us what it should be.",,,
4,N5,very,仕事が大変ですから、疲れました。,"EN ""hard""→""tough""; gloss ""very"" misleading.",,"Is the English meaning right for this Japanese word/sentence? If yes write OK; if not, tell us what it should be.",,,
5,N5,very,仕事は大変ですか。,"Gloss ""very"" misleading; 大変 as na-adj = tough.",,"Is the English meaning right for this Japanese word/sentence? If yes write OK; if not, tell us what it should be.",,,
6,N5,one day,一日は休みではありません。,"ついたち = 1st of month; add お休み so it reads as a date, not ""one day"". Gloss should be ""first (of the month)"".",,"Is the English meaning right for this Japanese word/sentence? If yes write OK; if not, tell us what it should be.",,,
7,N5,job opening,会社に新しい口があります。,"口 = ""job opening"" is idiomatic/above N5; anchor with 仕事. Consider replacing this headword sense.",,"Is the English meaning right for this Japanese word/sentence? If yes write OK; if not, tell us what it should be.",,,
8,N5,job opening,いい口が欲しいです。,"口 as ""job opening"" is too idiomatic for N5; recommend dropping this sense.",,"Is the English meaning right for this Japanese word/sentence? If yes write OK; if not, tell us what it should be.",,,
9,N5,job opening,その口は難しい仕事ですか。,Same idiomatic concern; 仕事 in sentence aids recoverability.,,"Is the English meaning right for this Japanese word/sentence? If yes write OK; if not, tell us what it should be.",,,
10,N5,one month,仕事で一月旅行します。,"一月 ambiguous (いちがつ); add context. Gloss ""one month"".",,"Is the English meaning right for this Japanese word/sentence? If yes write OK; if not, tell us what it should be.",,,
11,N5,to raise hands,学生は手を差します。,"WRONG VERB: 手を差す is not ""raise hand""; correct verb is 手を挙げる. Headword さす should be 挙げる(あげる).",,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
12,N5,to raise hands,質問があるときは手を差してください。,Same: 差す→挙げる.,,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
13,N5,to raise hands,バスの中では手を差しません。,Same: 差す→挙げる.,,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
14,N5,radio cassette player,部屋にラジオカセがあります。,WRONG WORD: ラジオカセ → ラジカセ (らじかせ). Fix headword.,,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
15,N5,radio cassette player,そのラジオカセを貸してください。,ラジオカセ→ラジカセ.,,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
16,N5,kind,あの先生は厚くないです。,"WRONG WORD: 厚い(あつい)=thick, not ""kind"". Correct ""kind"" = 優しい(やさしい). Fix headword.",,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
17,N5,radio cassette player,ラジオカセが欲しいです。,ラジオカセ→ラジカセ.,,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
18,N4,however much one may ~,お金はいくらてもいいです。,Headword いくらても is ungrammatical — the pattern needs a verb: いくら〜ても. Fix headword.,お金はいくらあってもいいです。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
19,N4,however much one may ~,説明はいくらてもいいですから、聞いてください。,Same: needs a verb between いくら and ても.,説明はいくら聞いてもいいですから、遠慮なくどうぞ。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
20,N4,encyclopedia,朝、辞書の代わりに辞典を使います。,"Headword error: 辞典 = ""dictionary"", not ""encyclopedia"" (= 百科事典). Fix the vocab entry.",図書館で百科事典を使います。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
21,N4,encyclopedia,旅行の前に、英語の辞典が欲しいです。,"辞典 = dictionary; fix headword to ""dictionary/辞書"" or rewrite for 百科事典.",旅行の前に、英語の辞書が欲しいです。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
22,N4,nurse,病院で看護婦が働いています。,看護婦 is dated/gendered; modern term is 看護師 (かんごし). Update headword reading too.,病院で看護師が働いています。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
23,N4,nurse,あなたのお姉さんは看護婦ですか。,看護婦→看護師.,お姉さんは看護師ですか。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
24,N4,nurse,看護婦になりたいです。,看護婦→看護師.,看護師になりたいです。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
25,N4,encyclopedia,図書館で英語辞典を借りました。,"辞典 = dictionary, not encyclopedia; fix headword (""dictionary/辞書"") or rewrite for 百科事典.",図書館で英語の辞書を借りました。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
26,N4,however much one may ~,いくらても分かりません。,Headword いくらても missing verb; pattern is いくら〜ても. Fix headword.,いくら考えても分かりません。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
27,N4,-- extra-modest expression for 言う --,彼は明日休むと申しました。,申す is humble (own actions); wrong for a third party. Standard use: self-introduction 申します.,私は田中と申します。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
28,N4,-- extra-modest expression for 言う --,お名前を申してください。,申す (humble) can't ask another's name; needs respectful おっしゃる. Headword misuse.,お名前をおっしゃってください。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
29,N3,to pour (drink),父にお酒を注しました。,注す(さす) nonstandard; use 注ぐ(そそぐ). Headword reading questionable.,父にお酒を注ぎました。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
30,N3,to pour (drink),彼はコップに水を注しません。,注す(さす) nonstandard → 注ぐ(そそぐ).,彼はコップに水を注ぎません。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
31,N3,helpless,病気で痩せた犬が哀れでした。,"Gloss error: 哀れ = pitiful/miserable, not ""helpless"".",病気で痩せた犬が哀れでした。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
32,N3,helpless,雨の中で傘もなく歩く人が哀れに見えた。,"Gloss error: 哀れ = pitiful, not ""helpless"".",雨の中で傘もなく歩く人が哀れに見えた。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
